
0: 3.18661ms
1: 6.253159ms
3: 10.581151ms
2: 15.723099ms
4: 14.614404ms
5: 14.205261ms
6: 15.602968ms
9: 17.958161ms
8: 18.547221ms
10: 17.883987ms
7: 19.864679ms
12: 21.201972ms
14: 21.05558ms
11: 22.813332ms
13: 21.663359ms
17: 22.139552ms
16: 23.7514ms
15: 24.575274ms
19: 21.687594ms
20: 25.665601ms
18: 27.612838ms
22: 24.949356ms
21: 25.510688ms
28: 25.853061ms
25: 27.850724ms
23: 29.03569ms
24: 32.471012ms
27: 34.964006ms
29: 34.189512ms
30: 33.88178ms
26: 36.257997ms
32: 37.511478ms
34: 36.483102ms
31: 38.24644ms
33: 37.232174ms
36: 39.487629ms
37: 38.94767ms
38: 38.417348ms
35: 40.177264ms
42: 39.839711ms
39: 41.852671ms
41: 40.708005ms
40: 41.390935ms
45: 42.082805ms
43: 43.737816ms
44: 42.747854ms
46: 41.631686ms
47: 44.837292ms
48: 44.388618ms
50: 43.301644ms
49: 43.924299ms
52: 45.93635ms
54: 45.201457ms
53: 45.810212ms
51: 46.97171ms
58: 46.983723ms
56: 48.356148ms
55: 48.954288ms
57: 47.860329ms
62: 47.031217ms
60: 50.319029ms
61: 49.771737ms
59: 50.937843ms
63: 51.535564ms
64: 49.407293ms
65: 48.82417ms
66: 51.740485ms
69: 54.435187ms
68: 55.02711ms
67: 56.988107ms
70: 58.16022ms
74: 60.13253ms
71: 61.98003ms
72: 62.206813ms
73: 64.605029ms
75: 69.443926ms
77: 68.910881ms
76: 69.62063ms
78: 72.234733ms
81: 74.785836ms
79: 76.323581ms
80: 76.285866ms
82: 75.253299ms
83: 79.130521ms
86: 78.15369ms
85: 78.745125ms
84: 83.865422ms
87: 86.241149ms
90: 84.921316ms
89: 86.842291ms
88: 90.766518ms
94: 91.626292ms
91: 94.692212ms
93: 93.831112ms
92: 94.554132ms
95: 96.954094ms
97: 96.056955ms
98: 96.368946ms
96: 100.961784ms
99: 104.301979ms
101: 103.112964ms
102: 102.580128ms
100: 103.829838ms
105: 104.518285ms
104: 105.670703ms
106: 107.706082ms
103: 110.957018ms
109: 111.51367ms
107: 113.87026ms
110: 112.800956ms
108: 113.996887ms
112: 115.139944ms
111: 115.883569ms
113: 115.315042ms
114: 112.879809ms
117: 114.519037ms
118: 113.988715ms
116: 115.168022ms
115: 118.720542ms
122: 118.923647ms
120: 120.120764ms
121: 119.757927ms
119: 122.675221ms
123: 123.199047ms
124: 123.148689ms
125: 125.437531ms
126: 124.870612ms
127: 130.346622ms
129: 129.31629ms
130: 128.739592ms
128: 130.41444ms
133: 131.090525ms
131: 132.69916ms
132: 135.012865ms
134: 134.64528ms
137: 137.419463ms
136: 138.015019ms
138: 136.899059ms
135: 141.088831ms
141: 142.085079ms
142: 141.561532ms
140: 145.761151ms
139: 146.521538ms
143: 147.852755ms
146: 144.659091ms
144: 147.634075ms
145: 147.166613ms
148: 149.302217ms
149: 149.164905ms
147: 152.092255ms
150: 153.579293ms
153: 156.558607ms
152: 157.515044ms
151: 161.314113ms
154: 159.717281ms
155: 162.858282ms
157: 161.73038ms
156: 164.008116ms
158: 163.634104ms
160: 166.310436ms
161: 165.741422ms
159: 167.129003ms
162: 165.410643ms
164: 167.356623ms
163: 168.747486ms
166: 166.985055ms
165: 171.74056ms
167: 174.676012ms
169: 174.067535ms
168: 177.038678ms
170: 176.009185ms
171: 180.103201ms
172: 180.936714ms
173: 183.259359ms
174: 182.695233ms
175: 185.492466ms
178: 184.628641ms
176: 189.659957ms
177: 189.529ms
182: 190.656415ms
181: 193.450294ms
180: 194.225976ms
179: 195.650783ms
185: 198.014986ms
184: 201.544597ms
183: 202.473167ms
186: 201.139505ms
190: 202.189114ms
188: 204.04702ms
189: 203.477656ms
187: 207.556516ms
194: 207.095689ms
192: 208.384302ms
191: 211.029344ms
193: 212.141672ms
197: 213.250508ms
196: 216.86428ms
198: 217.674186ms
195: 219.507997ms
200: 219.97078ms
199: 222.369345ms
201: 221.969561ms
202: 221.356335ms
203: 224.487489ms
206: 222.756348ms
204: 223.957935ms
205: 226.310893ms
207: 228.654422ms
210: 226.963162ms
208: 229.027386ms
209: 230.278284ms
213: 232.32791ms
212: 232.946096ms
211: 234.556267ms
214: 234.910584ms
218: 237.09452ms
216: 238.39326ms
215: 239.175787ms
217: 239.158606ms
220: 241.699442ms
219: 243.108883ms
221: 243.904331ms
222: 243.503988ms
223: 247.159179ms
225: 246.293957ms
224: 246.895659ms
226: 246.525698ms
230: 246.916542ms
228: 249.578976ms
229: 248.989497ms
227: 252.805047ms
233: 255.184127ms
234: 254.657157ms
231: 258.737974ms
232: 258.143186ms
236: 258.955396ms
235: 260.133237ms
237: 258.919846ms
238: 262.197462ms
242: 267.354357ms
240: 269.366129ms
239: 270.332833ms
241: 269.280012ms
245: 270.463161ms
244: 271.113474ms
243: 271.983654ms
246: 274.317684ms
247: 278.578556ms
249: 277.37655ms
248: 278.344161ms
250: 280.459581ms
253: 283.083323ms
251: 284.96337ms
252: 288.217239ms
254: 287.108264ms
255: 290.208128ms
